"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)"
"1",8," Orczy út 46-48",42,1,NA,99000,"renovated","high",NA,1,2,"No",NA,"Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes","No",NA,"street",NA,NA,NA
"2",13," Frangepán utca",44,1,1,175000,"new","high",NA,5,8,"Yes","less than 3","No","Yes",NA,"immediately","1 év","street","No","Yes","No","No","can rent","2020","2",NA
"3",9," Kinizsi utca",70,3,NA,160000,"like new","very high",NA,3,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","street","No","Yes",NA,"No","can rent","2001-2010 ",NA,30000
"4",14," Öv utca 133.",43,2,NA,144000,"like new","high","AA+",3,8,"Yes","less than 3",NA,"By arrangement",25000,"not immediately","1 év","panorama",NA,NA,"Yes",NA,"can rent","2012","5",8000
"5",13," Ipoly utca 3.",55,2,NA,185000,"new","high","AA+",5,9,"Yes","less than 3","Yes","By arrangement",25000,"not immediately","1 év","garden",NA,"Yes","Yes","Yes","can rent","2013","11",45000
"6",11," Szentimreváros",110,3,NA,420000,"renovated","very high",NA,3,3,"No","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes",NA,"No","included",NA,"6",NA
"7",16," Koronafürt utca 44",20,1,NA,80000,"new","high","AA",NA,5,"Yes",NA,"No","Yes",20000,"immediately","5 hónap","yard","Yes","Yes","No","No","included","2019",NA,NA
"8",5," Semmelweis utca 11.",20,1,NA,90000,"new","high","AA",NA,7,"Yes",NA,"No","Yes",20000,"immediately","5 hónap",NA,"No","Yes","No","No",NA,"2017",NA,NA
"9",5," Petofi Sándor utca 17.",42,1,1,349000,"new","high",NA,2,8,"Yes","less than 3",NA,"Yes",70000,"immediately","1 év","yard","No","Yes","No","No","street","2021","10",NA
"10",2," Újlak",73,2,1,240000,"like new","very high",NA,3,5,"Yes","less than 3",NA,"No",NA,"immediately","1 év","street","No","No",NA,"No","street","1981-2000 ",NA,NA
"11",13," Madarász Viktor utca 38.",42,1,1,168750,"new","high",NA,4,8,"Yes",NA,"Yes","Yes",15000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","11",NA
"12",13," Röppentyu utca",45,2,NA,140000,"like new","high",NA,2,6,"Yes","less than 3",NA,"Partially",NA,"not immediately","1 év","garden","No","Yes","No","No","street","2001-2010 ","6",NA
"13",11," Szentimreváros",70,3,NA,2e+05,"renovated","high",NA,0.5,2,"No","3 or more","No","No",40000,"immediately","1 év","garden","No","No","No","No","can rent",NA,NA,25000
"14",2," Bécsi út",97,4,NA,425000,"like new","very high",NA,2,6,"Yes","less than 3","Yes","No",NA,"immediately","1 év","street","No","Yes","No","No","must rent","2001-2010 ","15",25000
"15",7," Dohány utca",50,2,NA,120000,"renovated","average",NA,2,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"16",21," Kossuth Lajos utca",55,2,NA,120000,"good","high",NA,NA,10,NA,"less than 3",NA,"Yes",15000,NA,"1 év","street",NA,"Yes","No","No","street",NA,"3",NA
"17",9," Ferenc körút",37,1,1,120000,"renovated","high",NA,1,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év","street","No","Yes",NA,"No","street",NA,NA,NA
"18",11," Alíz utca 6",65,3,NA,240000,"like new",NA,NA,1,6,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"included","2019","125",NA
"19",14," Kerepesi út 30.",40,1,NA,120000,"renovated","high",NA,3,3,"No","less than 3","Yes","Yes",15000,"not immediately","1 év","street",NA,"Yes","No",NA,"can rent",NA,NA,20000
"20",13," Futár utca",52,2,NA,160000,"like new",NA,NA,3,4,"Yes",NA,"Yes","Partially",9000,"immediately","1 év","garden",NA,NA,NA,NA,"street","2001-2010 ","13",NA
"21",2," Törökvész út",140,5,NA,520000,"renovated","very high",NA,2,3,"No","less than 3","Yes","No",NA,"not immediately","1 év","panorama","No","Yes",NA,NA,"included",NA,"40",NA
"22",7," Wesselényi utca 9.",75,3,NA,170000,"like new","high",NA,3,NA,"Yes","3 or more","Yes","Yes",70000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"23",13," Babér utca 13.",37,2,NA,158000,"new","high",NA,1,8,"Yes","less than 3","Yes","Yes",28000,"immediately","1 év","street","No","Yes",NA,NA,"street","2018","5",NA
"24",13," Madarász Viktor utca",46,2,NA,168000,"new",NA,NA,5,NA,"Yes",NA,"Yes","Yes",20000,NA,"1 év","yard",NA,"Yes",NA,NA,"can rent",NA,"11",20000
"25",7," Belso-Erzsébetváros",75,3,1,155000,"renovated","high",NA,0.5,5,"Yes","3 or more","Yes","No",33000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA
"26",7," Dohány utca 57.",68,2,NA,159000,"like new","high",NA,NA,NA,NA,"less than 3","No","Yes",60000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"27",11," Baranyai tér",30,1,NA,120000,"renovated","high",NA,4,7,"Yes","less than 3","No","No",NA,"not immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA
"28",6," Andrássy út",110,3,NA,350000,"renovated","very high",NA,0.5,3,"No",NA,NA,"Yes",NA,"immediately","1 év","garden","No","Yes","Yes","No","street","1950 elott","1",NA
"29",13," Danubius utca",61,2,NA,220000,"like new","luxury",NA,5,9,"Yes","less than 3","Yes","Yes",50000,"immediately","1 év","panorama","No","Yes",NA,NA,"included","2001-2010 ","16",NA
"30",12," Németvölgyi út 41.",53,2,NA,396000,"new","luxury","AA++",1,3,"Yes","less than 3","Yes","By arrangement",40000,"immediately","1 év","garden",NA,"Yes",NA,NA,"can rent",NA,"11",NA
"31",5," Múzeum körút 9.",65,2,1,190000,"renovated","high",NA,2,NA,"Yes",NA,NA,"Yes",30000,"immediately","1 év","street",NA,"Yes","No","No","street","1950-1980 ",NA,NA
"32",2," Lajos utca",60,2,NA,159000,"renovated","high","AA++",1,4,"Yes","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"33",6," Teréz körút 8.",90,3,1,320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"6",NA
"34",6," Izabella utca 70.",45,1,1,125000,"renovated",NA,NA,3,3,"No","3 or more",NA,"Yes",20000,"immediately","6 hónap","yard",NA,"Yes","No","No",NA,NA,NA,NA
"35",11," Lágymányosi utca",42,1,NA,130000,"renovated","high",NA,3,3,NA,"3 or more",NA,"Yes",20000,"immediately","1 év","street",NA,"Yes","Yes",NA,NA,"1981-2000 ",NA,NA
"36",9," Vágóhíd utca 3.",61,2,NA,180000,"new","high",NA,4,10,"Yes","less than 3","Yes","By arrangement",40000,"immediately","1 év","street","No","No","No","No","can rent","2020","28",20500
"37",8," Kofaragó utca",115,4,NA,620000,"renovated","luxury",NA,2,2,"No","3 or more",NA,"Yes",60000,"immediately","6 hónap","street","No","Yes",NA,"No","can rent","1950 elott",NA,25000
"38",12," Németvölgyi út 23.",82,2,1,290000,"new","luxury",NA,3,3,"Yes",NA,"Yes","Yes",20000,"immediately","1 év","street",NA,"Yes","No","No","must rent","2011","25",40000
"39",11," Szent Gellért tér",50,2,NA,160000,"renovated","high",NA,2,4,"No","3 or more","No","No",30000,"immediately","1 év","street","No","No","No","No","street","1950 elott",NA,NA
"40",13," Volegény utca 2.",50,2,NA,149000,"renovated","high",NA,2,2,"No","less than 3","Yes","Yes",29000,"immediately","1 év","garden","No","Yes","No","No","can rent",NA,"4",NA
"41",14," Szabács utca",43,1,1,120000,"good","high",NA,1,4,"No","less than 3","No","No",NA,"immediately","nincs","panorama",NA,"No","No","No","street",NA,"2",NA
"42",7," Klauzál utca 34.",95,5,NA,180000,"like new","high",NA,2,NA,"No","3 or more","Yes","Yes",1e+05,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"43",7," Dohány utca 5.",90,3,NA,180000,"like new","high",NA,2,NA,"Yes","less than 3","Yes","Yes",80000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"44",7," Rákóczi út 36.",100,5,NA,180000,"like new","average",NA,3,NA,"Yes","3 or more","Yes","Yes",80000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"45",7," Dohány utca 5.",50,2,NA,160000,"like new","average",NA,1,NA,"Yes","3 or more","No","Yes",40000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"46",7," Rumbach Sebestyén utca",37,1,NA,140000,"renovated","average",NA,0.5,6,"Yes",NA,NA,"Yes",20000,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA
"47",7," Rózsa utca",68,4,NA,180000,"new","high",NA,3,7,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év","street","No","Yes","Yes","No","can rent","2001-2010 ",NA,35000
"48",7," Dohány utca",99,3,NA,185000,"renovated",NA,NA,1,NA,"Yes",NA,"Yes","No",28000,"immediately","1 év",NA,NA,NA,NA,"No","street",NA,NA,NA
"49",9," Tuzoltó utca 71.",44,2,NA,130000,"new","high",NA,1,5,"Yes",NA,"Yes","No",NA,"immediately","1 év","street",NA,"Yes","No",NA,"street",NA,"2",NA
"50",7," Wesselényi utca 4.",50,2,NA,130000,"renovated","high",NA,2,NA,"Yes","3 or more","Yes","Yes",50000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"51",11," Etele út",49,2,NA,140000,"renovated","high",NA,6,10,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street","No","Yes","No",NA,"street",NA,"5",NA
"52",7," Dohány utca 28.",85,2,NA,140000,"like new","high",NA,2,3,"No","3 or more","No","Yes",60000,"immediately","nincs","street","No","Yes","No","No",NA,NA,"2",NA
"53",13," Szobor utca 4.",47,1,1,168750,"new","high",NA,6,8,"Yes",NA,"Yes","Yes",NA,"immediately",NA,NA,NA,"Yes","Yes","No","can rent","2020","5",20000
"54",11," Olajbogyó utca 6.",27,1,NA,95000,"like new",NA,NA,6,6,"Yes",NA,"No","No",NA,"immediately","1 év","street",NA,"Yes","No",NA,"can rent","2001-2010 ","6",20000
"55",13," Danubius utca",76,3,NA,3e+05,"new","high",NA,4,8,"Yes",NA,NA,"No",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"street","2019","16",NA
"56",13," Pannónia Ház",53,2,NA,2e+05,"new",NA,NA,4,7,"Yes","less than 3","Yes","Partially",NA,NA,"1 év",NA,NA,"Yes","No","Yes","can buy","2019","9.53",NA
"57",7," Király utca",55,2,NA,140000,"good","high",NA,3,5,"Yes","3 or more","No","Yes",45000,"immediately","1 év","street","No","Yes","No","No","street","1950 elott","2",NA
"58",11," Fonyód utca 17.",110,4,NA,230000,"renovated","high",NA,2,2,"No",NA,"No","No",NA,"immediately","1 év","garden","Yes","Yes","Yes",NA,"street",NA,NA,NA
"59",9," Ferenc tér",45,2,NA,65000,"renovated","high",NA,NA,NA,"Yes","less than 3","Yes","Yes",20000,"immediately","6 hónap","panorama","No","Yes","No","No","street","2020",NA,NA
"60",9," Ráday utca",58,2,NA,170000,"renovated","high",NA,1,3,"No","3 or more",NA,"Yes",40000,"immediately","1 év","street","No","No","No",NA,NA,NA,NA,NA
"61",9," Nádasdy utca",28,1,NA,135000,NA,NA,NA,6,NA,"Yes",NA,"No","Yes",15000,"immediately","1 év","yard",NA,"Yes",NA,NA,"street",NA,"2",NA
"62",6," Zichy Jeno utca 41.",53,3,NA,130000,NA,"high",NA,3,3,"No",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,"street",NA,NA,NA
"63",9," Ráday utca",68,2,1,170000,"renovated","high",NA,1,5,"No","3 or more","No","Yes",40000,"immediately","1 év","garden","No","Yes","Yes","No","street","1950 elott",NA,NA
"64",11," Kondorosi út 12.",29,1,1,130000,"renovated","high","B",1,8,"Yes","3 or more","No","No",30000,"immediately","1 év","street","No","Yes","Yes","No","street","2001-2010 ","2",NA
"65",9," Ráday utca 16.",100,4,NA,170000,"like new","high",NA,1,NA,"No","3 or more","No","Yes",80000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"66",9," Lónyay utca 7.",65,4,NA,179000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",70000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"67",13," Radnóti Miklós utca 40.",90,4,NA,199000,"like new","average",NA,NA,NA,NA,"less than 3","No","Yes",40000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"68",9," Viola utca 27-29.",40,2,NA,169900,"like new","high",NA,4,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes",NA,NA,"can rent","2017","6",25000
"69",9," Viola utca",40,2,NA,169900,"like new","high",NA,4,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes",NA,"No","can rent","2017","6",25000
"70",13," Röntgen utca",30,1,NA,95000,"renovated","average",NA,NA,5,"Yes","less than 3","No","No",NA,"immediately","1 év","garden","No","Yes","No","No","street",NA,NA,NA
"71",13," Pannónia Ház",54,2,NA,2e+05,"new",NA,NA,3,7,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év",NA,NA,"Yes","No","Yes",NA,"2019","7.78",NA
"72",5," Vigyázó Ferenc utca",56,2,NA,260000,"like new","high",NA,1,5,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év","yard","No","Yes",NA,NA,"can rent",NA,NA,50000
"73",9," Viola utca",45,2,NA,179900,"like new","high",NA,2,5,"Yes","less than 3","Yes","Yes",14000,"immediately","1 év","street","No","Yes","Yes","No","can rent","2017","4",30000
"74",9," Viola utca",45,2,NA,179900,"like new","high",NA,2,5,"Yes",NA,"Yes","Yes",14000,"immediately","1 év","yard","No","Yes","Yes","No","can rent","2017","4",30000
"75",9," Viola utca",45,2,NA,179900,"like new","high",NA,3,5,"Yes","less than 3","Yes","Yes",12000,"immediately","1 év","street","No","Yes","Yes","No","street","2017","3",NA
"76",9," Viola utca",45,2,NA,179900,"like new","high",NA,3,5,"Yes","less than 3","Yes","Yes",12000,"immediately","1 év","street","No","Yes","Yes","No","street","2017","3",NA
"77",9," Viola utca",50,2,NA,179900,"good","high",NA,1,5,"Yes","less than 3","Yes","Yes",16000,"immediately","1 év","street","Yes","Yes",NA,"No","street","2001-2010 ","10",NA
"78",9," Viola utca",50,2,NA,179900,"good","high",NA,1,5,"Yes","less than 3","Yes","Yes",16000,"immediately","1 év","street","No","Yes",NA,"No","street","2001-2010 ","10",NA
"79",6," Király utca",75,3,NA,159000,"new","high",NA,1,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No","No","street","2001-2010 ",NA,NA
"80",6," Vörösmarty utca",36,1,NA,140000,"renovated","average",NA,3,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"81",2," Ady Endre utca",50,2,NA,160000,"renovated","high",NA,1,4,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","yard","No","Yes",NA,NA,NA,NA,NA,NA
"82",13," Pannónia Ház",53,2,NA,2e+05,"new",NA,NA,3,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év",NA,NA,NA,NA,NA,"can buy","2019","5.3",NA
"83",2," Kelemen László utca",41,1,NA,140000,"good","high",NA,1,3,"No",NA,"No","Yes",23000,NA,"1 év","garden","No","Yes","Yes","No","included","1950-1980 ",NA,NA
"84",3," Uszály utca",30,1,NA,110000,"renovated","high",NA,NA,3,"No",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","Yes",NA,"street",NA,NA,NA
"85",13," Lehel utca 4",58,3,NA,120000,"good","high",NA,1,5,"Yes",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,"street",NA,"15",NA
"86",11," Szurdok utca",65,3,NA,240000,"like new","high","AA++",4,5,"Yes","less than 3","Yes","Yes",15000,"immediately","1 év","panorama","No","Yes","No","No","can rent","2017",NA,15000
"87",11," Sasad",77,3,NA,275000,"like new",NA,NA,3,NA,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"can rent","2011","5",25000
"88",6," Király utca",52,1,2,150000,"like new","high",NA,1,3,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"89",9," Dandár utca",85,3,NA,299900,"renovated","very high",NA,6,6,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street","Yes","Yes",NA,"No",NA,"2001-2010 ","12",NA
"90",7," Wesselényi utca 15.",65,3,NA,140000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",60000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"91",2," Török utca 4.",100,6,NA,250000,"like new","average",NA,1,NA,"No","3 or more","Yes","Yes",110000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"92",13," Szegedi út",76,3,NA,165000,"like new","very high",NA,4,NA,"Yes",NA,"Yes","No",18000,"immediately","1 év","street",NA,NA,NA,NA,"included","2001-2010 ","12",NA
"93",13," Béke utca",38,1,1,129000,"renovated","high",NA,NA,3,"No","less than 3","Yes","Yes",20000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA
"94",7," Akácfa utca",56,2,NA,130000,"good","high",NA,2,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","yard","No","Yes","No","No",NA,NA,NA,NA
"95",7," Károly körút 5.",30,1,NA,1e+05,"renovated","high",NA,1,NA,"Yes","less than 3","Yes","Yes",30000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"96",13," Béke utca",40,1,1,139000,"renovated","high",NA,NA,3,"No",NA,"Yes","Yes",20000,"immediately",NA,"street","No","Yes","No",NA,"street",NA,NA,NA
"97",13," Frangepán utca 76.",41,2,NA,149000,"new","high",NA,4,5,"Yes","less than 3","No","Partially",NA,"immediately",NA,"street",NA,"Yes","No",NA,"can rent","2018","3",20000
"98",9," Nádasdy utca 15.",41,2,NA,150000,"new","high",NA,7,9,"Yes","less than 3",NA,"Partially",NA,"immediately","1 év","garden","No",NA,"No","No","street","2020","7",NA
"99",1," Toldy Ferenc utca 48.",43,1,NA,120000,"good","high",NA,NA,4,"No",NA,"No","Yes",NA,"not immediately","1 év","street",NA,"Yes",NA,NA,"street",NA,NA,NA
"100",9," Mester utca 83.",32,1,NA,110000,"new",NA,NA,4,8,"Yes",NA,NA,"No",14000,"immediately","nincs","panorama",NA,"Yes",NA,"No",NA,NA,NA,NA
"101",7," Thököly út",29,1,NA,90000,"renovated","high",NA,2,3,"No","less than 3","No","Yes",25000,"immediately","1 év","yard","No","Yes","No","No","street","2021",NA,NA
"102",9," Lónyay utca 13.",41,2,NA,110000,"renovated","high",NA,1,3,NA,NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,"street",NA,NA,NA
"103",13," Újlipótváros",38,1,NA,120000,"like new","high",NA,1,3,NA,"3 or more","No","Yes",20000,NA,"1 év","street","No","Yes",NA,NA,"street","1950-1980 ",NA,NA
"104",4," József Attila utca",44,1,1,166500,"new","high",NA,2,NA,"Yes",NA,NA,"Yes",NA,"immediately","1 év",NA,NA,"Yes","Yes","No",NA,NA,"10",NA
"105",1," Alagút utca 2.",55,2,NA,120000,"like new","high",NA,NA,NA,NA,"3 or more","No","Yes",50000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"106",9," Liliom utca",40,1,1,139000,"renovated","high",NA,1,4,"Yes","less than 3","Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No","No","street","1981-2000 ",NA,NA
"107",13," Dévai utca 19.",53,2,NA,160000,"new","very high","CC",6,7,"Yes","less than 3","Yes","Yes",24000,"immediately","1 év","garden","Yes","Yes","No","No","can rent","2021","5",22000
"108",7," Wesselényi utca 4.",30,1,NA,90000,"renovated","high",NA,2,NA,"Yes","3 or more","Yes","Yes",30000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"109",9," Nádasdy utca",36,1,NA,139000,"new","high",NA,8,9,"Yes",NA,"Yes","Yes",15000,"immediately","nincs","panorama","No","Yes","No",NA,"street","2017","3",NA
"110",13," Taksony utca",46,2,NA,170000,"new","high","CC",4,8,"Yes","less than 3","Yes","Yes",16000,"immediately","1 év","garden","Yes","Yes","No","No","can rent","2021","10",22000
"111",6," Szív utca",35,1,1,105000,"renovated","high","AA++",NA,3,"No","3 or more","Yes","Yes",30000,"not immediately","1 év","street","No","Yes","No","No","street","2021",NA,NA
"112",13," Alig utca 5.",42,1,NA,120000,"renovated","high",NA,2,NA,"Yes",NA,"Yes","No",NA,"immediately","1 év","street",NA,"Yes","Yes",NA,"street",NA,NA,NA
"113",6," Szinyei Merse utca 14.",49,2,NA,135000,"like new","high",NA,3,4,"Yes",NA,"No","No",NA,"immediately","1 év","yard",NA,NA,"No","No","street",NA,NA,NA
"114",14," Stefánia út",57,2,NA,110000,"renovated","high",NA,0.5,4,NA,"less than 3",NA,"Yes",24000,"immediately","6 hónap","street","No","Yes","Yes","No","street","1950-1980 ",NA,NA
"115",11," Madárhegy",70,3,NA,361400,"like new","very high",NA,1,4,"Yes","less than 3","Yes","Partially",NA,"immediately","nincs","panorama","No","Yes","No","No","can rent","2018","12.5",30000
"116",6," Csengery utca 51.",49,3,NA,150000,"like new","high",NA,1,4,"No","less than 3","Yes","Yes",16000,"immediately","nincs","yard","No","Yes",NA,NA,"street","1950 elott",NA,NA
"117",4," Wolfner utca",44,1,1,166500,"new","high",NA,2,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","44",NA
"118",13," Kassák Lajos utca 67.",32,1,NA,140000,"new","high",NA,7,9,"Yes","less than 3","No","Partially",17000,"immediately","6 hónap","yard","No","Yes","No","No","can rent","2020","4",20000
"119",11," Madárhegy",70,3,NA,362000,"like new","high",NA,1,4,"Yes","less than 3","Yes","Partially",NA,"immediately","1 év","panorama",NA,"Yes","No",NA,"can rent","2018","12.5",30000
"120",11," Allende park",52,2,NA,135000,"good",NA,NA,4,4,NA,NA,NA,"No",27000,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,"6",NA
"121",2," Frankel Leó út 49.",30,1,NA,90000,"good","high",NA,5,5,"Yes",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,"street",NA,NA,NA
"122",22," Kölcsey utca 3.",45,1,NA,120000,"renovated","high",NA,NA,NA,NA,NA,NA,"Yes",NA,"immediately","1 év","garden","Yes","Yes","Yes",NA,"street",NA,NA,NA
"123",4," Wolfner utca 4.",44,1,1,159000,"new","high",NA,1,NA,"Yes",NA,"Yes","Yes",12000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","13",NA
"124",13," Klapka utca",40,1,1,160000,"new","high",NA,8,8,"Yes","less than 3","Yes","No",NA,"immediately","1 év","panorama",NA,"Yes","No","No","can rent","2020","6",20000
"125",5," Molnár utca 10.",100,6,NA,280000,"renovated","very high",NA,2,NA,"No","3 or more","Yes","Yes",120000,"immediately","nincs","street","No","Yes","No","No",NA,NA,NA,NA
"126",5," Váci utca 12.",100,4,NA,2e+05,"like new","average",NA,4,NA,"Yes","3 or more","Yes","Yes",80000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"127",13," Katona József utca 3.",86,4,NA,180000,"good","very high",NA,4,8,"Yes","less than 3","Yes",NA,40000,"immediately","1 év","street","No","Yes","Yes","No","street","1981-2000 ","4",NA
"128",9," Mester utca",41,2,NA,160000,"new","high",NA,1,8,"Yes",NA,NA,"No",25000,"immediately",NA,"garden","No","Yes","No",NA,"street",NA,NA,NA
"129",14," Újvidék sétány",36,1,NA,109000,"good","average",NA,NA,NA,NA,"less than 3",NA,"Yes",NA,"immediately","1 év","garden","Yes",NA,"Yes","No","street","2001-2010 ",NA,NA
"130",14," Herminamezo",50,1,2,150000,"new","high",NA,7,7,"Yes",NA,"Yes","Yes",20000,"immediately","1 év","panorama",NA,"Yes","No","No","can rent",NA,"3",20000
"131",14," Hermina út",71,2,NA,2e+05,"renovated","high",NA,1,NA,"No","3 or more","Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No","No","included",NA,"1",NA
"132",14," Cserto utca",46,1,1,120000,"good","high",NA,4,10,"Yes","less than 3","No","Yes",20000,"immediately","1 év","street","No","Yes","No","No","street","1981-2000 ",NA,NA
"133",11," Ringló út",50,2,NA,140000,"renovated","high",NA,1,3,"No",NA,NA,"Yes",39000,"not immediately","1 év","panorama",NA,"Yes","No",NA,"included",NA,"80",NA
"134",19," Kosárfonó utca",37,1,1,120000,"renovated","high",NA,5,10,"Yes","less than 3",NA,"Yes",30000,"immediately","1 év","street",NA,"Yes","No","No","street",NA,"4",NA
"135",4," Wolfner utca",44,1,1,166500,"like new","high",NA,3,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","Yes","No","can rent",NA,"8",20000
"136",9," Lónyay utca 36.",37,1,NA,1e+05,"renovated","high",NA,3,3,"Yes",NA,NA,"Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,"street",NA,NA,NA
"137",13," Csongor utca",40,1,1,140000,"like new","high",NA,3,7,"Yes","less than 3","Yes","Yes",15000,"immediately","1 év","yard","No","Yes","No","No","street","2001-2010 ",NA,NA
"138",13," Gömb utca",51,2,NA,155000,"like new","high",NA,5,8,"Yes","less than 3","Yes","Partially",20000,"immediately","1 év","street","No","Yes","No","No","can rent","2001-2010 ","5",15000
"139",13," Victor Hugo utca",54,2,NA,170000,"new","high","AA+",5,7,"Yes","less than 3","No","Partially",20000,"immediately","1 év","street","No","Yes","No","No","street","2013","10",NA
"140",11," Madárhegy",88,3,NA,279000,"like new","high",NA,1,3,"Yes","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes",NA,"No","street","2001-2010 ","26",NA
"141",9," Mester utca",41,1,1,160000,"new","high","BB",1,8,"Yes","less than 3","No","No",15000,"immediately","1 év","yard","Yes","No","Yes","No","street","2020","16",NA
"142",13," Váci út",35,1,1,120000,"renovated","high",NA,6,10,"Yes","less than 3","Yes","Partially",15000,"immediately","1 év","street","No","Yes","No","No","street","1981-2000 ",NA,NA
"143",13," Csata utca",43,1,1,140000,"new","high","AA",3,5,"Yes","less than 3","No","Partially",20000,"immediately","1 év","garden","No","Yes","No","No","street","2020","6",NA
"144",8," Somogyi Béla utca",70,2,NA,165000,"renovated","average",NA,2,4,"No","3 or more","No","Partially",NA,"immediately","1 év","street","No","Yes","Yes","No","street","1950 elott",NA,NA
"145",14," Újvidék sétány",50,2,NA,130000,"good","high",NA,1,2,"No","less than 3","No","No",NA,NA,"nincs","garden",NA,"Yes","No","No","street",NA,NA,NA
"146",13," Hegedus Gyula utca",160,4,1,349000,"renovated","high",NA,3,NA,"Yes","3 or more","Yes","No",NA,"immediately","1 év","street",NA,"Yes","Yes","No","street",NA,"3",NA
"147",11," Kelenföld",79,3,NA,239000,"like new","high",NA,2,4,"Yes","less than 3","Yes","Yes",NA,NA,"1 év","street","No","Yes","Yes","No","street","2012","13",NA
"148",6," Szinyei Merse utca 14.",76,3,NA,180000,"like new","very high",NA,4,4,"Yes",NA,"Yes","No",15400,NA,"1 év","yard",NA,NA,"No","No","street",NA,NA,NA
