"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)"
"12528",9," Tuzoltó utca",45,2,NA,170000,"new","high",NA,5,6,"Yes",NA,"Yes","Yes",25000,"immediately","1 év","yard",NA,"Yes","No","No",NA,"2018",NA,NA
"12529",12," Trencséni utca",90,3,NA,260000,"good","high",NA,1,3,"No","less than 3",NA,"No",NA,"immediately","1 év","panorama",NA,NA,NA,NA,"included",NA,"20",NA
"12530",9," Nádasdy utca",58,3,NA,230000,"like new",NA,NA,2,8,"Yes",NA,"Yes","Yes",35000,"immediately","nincs","street",NA,"Yes","No",NA,NA,NA,NA,NA
"12531",14," Laky Adolf utca",120,1,NA,180000,"good","high",NA,1,NA,"No",NA,NA,"Partially",20000,"immediately","nincs","garden","No","Yes","No",NA,"street",NA,"30",NA
"12532",8," József körút",98,3,NA,440000,"renovated","high",NA,1,3,"No",NA,NA,"Yes",26000,"immediately","nincs","street","No","Yes","No",NA,"street",NA,NA,NA
"12533",5," Bástya utca",49,1,1,150000,"good","high",NA,NA,4,NA,NA,NA,"Yes",30000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,NA,NA,NA
"12534",15," Neptun utca",10,1,NA,55000,"good","high","EE",NA,NA,"No",NA,"No","Yes",NA,"immediately","4 hónap",NA,"Yes","Yes","Yes","Yes","street","1981-2000 ",NA,NA
"12535",6," Délibáb utca 8.",65,3,NA,320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"5",NA
"12536",14," Laky Adolf utca",120,1,NA,180000,"good","high",NA,1,2,"No",NA,"Yes","No",20000,"immediately","nincs","street","No","Yes","No",NA,"street",NA,"16",NA
"12537",5," Honvéd utca 8.",60,2,NA,357786,"renovated","luxury",NA,3,5,"Yes",NA,"Yes","Yes",25000,"immediately","1 év","street","No","Yes","No","No",NA,NA,NA,NA
"12538",3," Makovecz Imre utca",43,1,1,175000,"renovated","high",NA,NA,3,"No","less than 3","Yes","Yes",NA,"immediately","1 év","garden","Yes","Yes","No","No","can rent",NA,"6",25000
"12539",6," Eötvös utca",70,3,NA,220000,"renovated",NA,NA,4,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12540",7," Akácfa utca",85,3,NA,220000,NA,"high",NA,2,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12541",2," Keleti Károly utca",63,2,NA,330000,"renovated","high",NA,2,8,"Yes","less than 3","Yes","Yes",20000,"immediately","6 hónap","street","No","Yes","Yes","No","street","1950-1980 ","2",NA
"12542",12," Németvölgy",33,1,NA,110000,"good",NA,NA,NA,NA,"No","less than 3",NA,"Yes",NA,NA,"nincs","street",NA,NA,NA,NA,NA,"1950 elott",NA,NA
"12543",8," Bródy Sándor utca",70,1,2,150000,"like new","high","AA+",4,4,"Yes","less than 3","No","Yes",30000,"immediately","1 év","yard","No","Yes",NA,"No","street","2001-2010 ",NA,NA
"12544",5," Alkotmány utca",60,3,NA,307190,"good","high",NA,2,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs",NA,NA,"Yes",NA,NA,NA,"1950 elott",NA,NA
"12545",6," Bajcsy-Zsilinszky út",96,2,NA,349000,"renovated","high",NA,2,6,"Yes","3 or more","Yes","Yes",1e+05,"immediately","1 év","street","No","Yes","No",NA,"street","1950 elott","3",NA
"12546",14," Paskál utca",93,4,NA,230000,"like new","high",NA,2,3,"No","less than 3","Yes","By arrangement",NA,"immediately","nincs","panorama",NA,"Yes",NA,NA,"included",NA,"15",NA
"12547",13," Palóc utca",40,1,1,130000,"good","average",NA,4,5,"Yes",NA,"No","Partially",13000,"immediately","nincs","street","No","Yes","No",NA,"street","2001-2010 ","2",NA
"12548",14," Herminamezo",115,3,1,280000,"good",NA,NA,1,NA,"No","3 or more",NA,NA,NA,"immediately","nincs","street",NA,NA,NA,NA,NA,"1950 elott","12",NA
"12549",9," Ferenc körút",96,1,NA,2e+05,"good","high",NA,1,5,"No",NA,"No","No",20000,"immediately","nincs","yard","No","Yes","No",NA,"street",NA,NA,NA
"12550",11," Lágymányosi utca",16,2,NA,65000,"good","high",NA,NA,NA,"Yes","less than 3",NA,"Yes",20,"immediately","2 hónap","street",NA,"Yes","Yes","No","street",NA,NA,NA
"12551",6," Zichy Jeno utca",100,3,1,230000,"good",NA,NA,NA,NA,NA,NA,NA,NA,23000,"immediately","1 év",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12552",5," Balaton utca 18.",58,2,NA,180700,"like new","high",NA,3,5,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év","street",NA,"Yes",NA,NA,NA,"1950 elott",NA,NA
"12553",8," Víg utca 9.",31,1,NA,130000,"like new",NA,NA,4,6,"Yes","less than 3","No","Partially",13000,"immediately","1 év","street","No","Yes","No","No",NA,"2001-2010 ","4",NA
"12554",3," Viador utca",32,1,1,140000,"good",NA,NA,3,3,"No","less than 3","No","Yes",25,"not immediately","1 év","panorama","No","Yes","No","No","street",NA,NA,NA
